,53,0,CARVAJAL EDUCACION S.A.S.,241.664,-9%,5.163,-4.944,339.627,256.286,83.341,
,54,49,C I YUMBO S.A.,237.447,-2%,5.369,1,126.619,105.328,21.291,
,55,52,SIDERURGICA DEL OCCIDENTE S.A.,230.732,-3%,13.509,6.646,156.515,70.538,85.977,
,56,56,IMBANACO,227.796,12%,15.167,9.120,442.223,260.508,181.714,
,57,54,BANCO WWB S.A.,217.796,-1%,188.257,25.217,827.833,409.807,418.026,
,58,55,EXTRAS S.A.,211.810,-1%,2.161,814,20.803,14.961,5.842,
,59,0,SOCIEDAD PORTUARIA REGIONAL DE BTURA,211.735,10%,86.414,61.755,499.368,292.363,207.005,
,60,48,SAINC INGENIEROS CONSTRUCTORES S.A.,209.685,-14%,-1.474,53,213.128,138.893,74.236,
,61,57,CARTONES AMERICA S.A.,202.022,-1%,14.503,20.562,534.742,236.094,298.648,
,62,60,RECKITT BENCKISER COLOMBIA S.A.,201.302,6%,16.187,12.018,140.402,60.372,80.030,
,63,61,HOTELES ESTELAR S.A.,194.344,3%,51.328,12.771,338.317,95.883,242.434,
,64,59,QBCO S.A.,183.386,-5%,-5.166,-14.294,129.808,92.986,36.822,
,65,63,FORTOX S.A.,182.084,10%,3.805,671,59.982,32.903,27.079,
,66,68,ACCIONES Y SERVICIOS S.A.,177.128,13%,3.975,447,42.153,33.161,8.992,
,67,79,MOTORES DEL VALLE,176.367,32%,-314,135,94.790,63.342,31.448,
,68,77,SUPERTIENDAS CAÑAVERAL S.A.,173.379,26%,1.298,453,50.589,41.080,9.509,
,69,67,DISTRIBUIDORA COLOMBINA LTDA,170.438,8%,2.936,1.103,43.742,29.076,14.667,
,70,65,PGI COLOMBIA LTDA,169.338,5%,21.897,30.416,207.331,49.487,157.843,
,71,58,INGENIO PICHICHI S.A.,166.778,-15%,-8.431,-18.724,373.424,120.943,252.480,
,72,75,QUIMPAC DE COLOMBIA S.A.,160.605,10%,26.017,11.157,230.709,116.862,113.847,
,73,64,TORRECAFE AGUILA ROJA & CIA S.A.,159.737,-2%,38.307,26.554,277.308,88.110,189.198,
,74,62,ALUMINIO NACIONAL S.A.,158.387,-9%,2.901,-2.825,160.507,78.013,82.494,
,75,70,COMESTIBLES ALDOR S.A.,158.243,1%,3.157,1.327,188.424,108.660,79.764,
,76,78,AMALFI S.A.,157.001,15%,142.719,135.652,2.397.888,77.736,2.320.153,
,77,83,TERMINAL DE CONTENEDORES DE BUENAVENTURA,154.372,20%,57.517,10.093,700.891,346.552,354.338,
,78,0,CARVAJAL EMPAQUES S.A.,153.126,-26%,23.172,-4.702,676.245,324.075,352.170,
,79,71,JGB S.A.,149.710,-1%,18.235,7.048,98.118,32.207,65.911,
,80,74,COMERCIALIZADORA FLORALIA S.A.,149.543,1%,-1.593,1.858,19.058,8.327,10.731,
,81,80,REDCOLSA RED COLOMBIANA DE SERVICIOS S.A.,141.920,6%,7.651,4.637,42.684,21.578,21.105,
,82,81,PLASTICOS RIMAX SAS,140.915,8%,12.161,3.689,133.201,56.093,77.108,
,83,91,ELECTROJAPONESA S.A.,138.083,23%,148,-678,104.980,85.629,19.351,
,84,97,DUMIAN MEDICAL S.A.S.,135.662,28%,25.058,25.829,118.867,58.518,60.349,
,85,83,AGROAVICOLA SAN MARINO S.A.,133.819,6%,4.778,4.641,107.024,62.150,44.875,
,86,73,VATIA SA ESP,133.012,-11%,-1.158,-9.179,125.372,104.319,21.053,
,87,123,CONSTRUCTORA BOLIVAR CALI S.A.,130.225,61%,15.300,10.028,197.433,153.949,43.484,
,88,88,MAC - JOHNSON CONTROLS COLOMBIA SASS,128.437,12%,22.212,18.489,263.949,36.705,227.244,
,89,76,ALIMENTOS DEL VALLE S.A.,127.717,-8%,4.513,1.085,67.453,21.226,46.227,
,90,87,DECORCERAMICA S.A.S.,127.202,10%,8.376,3.961,67.390,50.133,17.257,
,91,82,DELIMA MARSH S.A.,125.978,-2%,13.672,13.094,77.765,33.392,44.373,
,92,69,LISTOS S.A.S.,124.203,-21%,2.553,1.235,14.413,9.209,5.204,
,93,107,CERDOS DEL VALLE S.A.,123.781,31%,3.337,570,46.699,37.432,9.266,
,94,85,RECAMIER S.A.,123.133,6%,19.192,4.423,80.759,56.585,24.174,
,95,72,ALMOTORES S.A.,121.408,-19%,1.748,1.314,32.308,23.069,9.240,
,96,0,CARVAJAL ESPACIOS SAS,120.124,-7%,-3.502,-8.025,88.504,56.775,31.729,
,97,86,SI S.A.,119.624,3%,1.852,2.640,94.340,49.930,44.410,
,98,0,MEGAOBRAS CALI S.A.S.,118.725,ND,2.149,1.280,205.257,191.557,13.700,
,99,32,CI GIRALDO & DUQUE LTDA,118.198,-72%,1.677,516,12.470,7.433,5.037,
,100,100,PROYECTOS DE INGENIERIA S.A.,116.766,15%,7.987,6.958,56.944,18.962,37.981,
,101,90,PROYECTOS DE INFRAESTRUCTURA S.A.,115.231,3%,72.186,50.621,300.077,167.596,132.482,
,102,94,CALZATODO S.A.,114.069,4%,5.803,1.899,59.424,33.307,26.117,
,103,93,VENUS COLOMBIANA S.A.,111.599,2%,5.472,1.897,85.330,59.908,25.421,
,104,109,BRISTOL MYERS SQUIBB DE COLOMBIA S.A.,110.595,18%,2.471,-780,76.846,25.525,51.320,
,105,112,TELECENTER PANAMERICANA LTDA,109.679,19%,3.117,2.253,94.637,54.039,40.599,
,106,96,EMPAQUES FLEXA S.A.S.,108.136,2%,-2.016,-8.102,113.780,63.278,50.502,
,107,108,BELLEZA EXPRESS S.A.,105.336,12%,17.647,5.317,76.758,49.812,26.946,
,108,99,OCUPAR TEMPORALES S.A.,104.333,2%,1.961,428,13.330,10.410,2.920,
,109,102,SURTIFAMILIAR S.A.,103.163,6%,824,1.091,22.570,17.163,5.407,
,110,113,JARAMILLO MORA S.A.,103.003,13%,20.274,14.554,197.025,132.823,64.203,
,111,0,CARVAJAL SOLUCIONES DE COMUNICACION S.A.S.,102.403,-1%,4.576,-7.801,145.540,119.091,26.449,
,112,120,AUTOPACIFICO S.A.,101.826,20%,-4.228,474,47.031,25.686,21.345,
,113,160,NUTRIENTES AVICOLAS S.A.,101.272,75%,4.462,1.681,77.270,51.613,25.657,
,114,134,CONSTRUCTORA MELENDEZ S.A.,100.872,49%,2.087,833,226.994,132.435,94.559,
,115,105,ABASTECEMOS DE OCCIDENTE S.A.,100.585,5%,-1.278,404,24.718,12.042,12.675,
,116,66,CONSTRUCCIONES CIVILES S.A.,100.569,-36%,-14.230,-26.422,229.189,212.446,16.743,
,117,111,GIROS & FINANZAS COMPAÑIA DE FINANCIAMIENTO,100.422,9%,5.252,6.894,346.557,307.850,38.708,
,118,84,HUMBERTO QUINTERO O Y CIA SCA,100.267,-18%,2.170,1.081,25.628,17.325,8.304,
,119,122,MERCAMIO S.A.,97.899,16%,-874,991,14.551,6.557,7.993,
,120,89,INGENIO SANCARLOS S.A.,97.679,-14%,-2.068,-5.359,409.869,63.349,346.519,
,121,98,NUTRICION DE PLANTAS S.A.,97.309,-8%,-23.962,-39.902,81.099,94.822,-13.723,
,122,116,VALLECILLA B Y VALLECILLA M Y CIA SCA CARVAL DE COLOMBIA,96.579,11%,8.714,3.250,151.090,84.276,66.814,
,123,103,PLASTICOS ESPECIALES S.A.,93.547,-3%,3.942,28,168.127,58.590,109.537,
,124,119,OSTER DE COLOMBIA LTDA,92.845,9%,28.222,6.027,54.583,15.023,39.560,
,125,118,CLINICA DE OCCIDENTE S.A.,92.713,8%,2.624,3.106,126.705,60.699,66.006,
,126,101,AUTOSUPERIOR S.A.S.,92.624,-7%,-3.705,-1.212,45.481,29.937,15.544,
,127,117,VISION & MARKETING S.A.S.,91.200,6%,3.441,1.901,24.076,18.943,5.134,
,128,104,INGENIO CARMELITA S.A.,90.749,-6%,5.589,2.862,160.086,44.799,115.286,
,129,121,DISTRIBUIDORA LA SULTANA DEL VALLE S.A.,90.136,6%,4.088,2.835,42.589,34.290,8.299,
,130,110,SUPERMERCADO LA GRAN COLOMBIA S.A.,87.990,-5%,365,487,18.164,13.777,4.387,
,131,127,DATECSA S.A.,87.536,20%,5.260,1.659,77.854,43.235,34.619,
,132,141,DELTEC S.A.,85.318,31%,10.606,4.683,43.333,25.672,17.661,
,133,131,RIVERCOL S.A.,84.152,20%,5.296,3.123,18.852,13.168,5.684,
,134,95,SSANGYONG MOTOR COLOMBIA S.A.,83.860,-22%,1.067,166,40.024,25.455,14.569,
,135,135,PROSERVIS EMPRESA DE SERVICIOS TEMPORALES PROSERVIS TEMPORALES S.A.S.,83.114,23%,1.456,318,12.951,10.257,2.694,
,136,124,IMPORTACIONES Y EXPORTACIONES FENIX S.A.S.,82.424,6%,3.912,917,50.803,39.661,11.142,
,137,181,ANGIOGRAFIA DE OCCIDENTE S.A.,82.194,14%,-3.997,3.385,101.194,56.022,45.172,
,138,115,COLGAS DE OCCIDENTE SA ESP,81.603,-9%,4.227,9.763,156.302,60.484,95.818,
,139,128,ARROCERA LA ESMERALDA S.A.,79.312,10%,5.396,2.535,43.936,25.041,18.894,
,140,0,CI NTR METALS COLOMBIA S.A.S.,77.304,ND,704,330,1.179,604,575,
,141,136,CLINICA FARALLONES S.A.,77.137,15%,4.532,3.687,81.505,37.069,44.436,
,142,157,MEDICAMENTOS ESPECIALIZADOS S.A.,75.610,29%,5.768,3.329,36.318,29.096,7.222,
,143,126,YANACONAS MOTOR S.A.,75.400,1%,-1.593,156,41.075,24.799,16.275,
,144,156,AUTOMOTORA NORTE Y SUR LTDA,73.156,24%,-1.405,313,18.132,11.946,6.186,
,145,139,EL PAIS S.A.,73.156,12%,4.804,1.521,85.060,19.330,65.730,
,146,144,INVERSIONES LA 14 S.A.,72.545,14%,43.470,13.713,1.254.025,660.689,593.336,
,147,150,AEROCALI S.A.,72.318,18%,18.556,12.084,44.553,22.680,21.873,
,148,0,CARVAJAL PROPIEDADES E INVERSIONES S.A.,71.259,0%,-12.736,-69.779,580.982,468.579,112.403,
,149,129,FRUTERA DEL LITORAL COLOMBIA S.A.S.,70.281,-1%,951,150,24.312,21.555,2.757,
,150,143,CARIBE S.A.,70.178,9%,543,581,14.685,11.416,3.269,
,151,152,SOCIEDAD NSDR S.A.,69.743,14%,746,2.001,83.740,59.378,24.363,
,152,138,ACUAVALLE SA ESP,69.477,6%,12.247,3.665,436.927,99.014,337.913,
,153,130,MEGA PROYECTOS DE ILUMINACIONES DE COLOMBIA S.A.,68.570,-3%,1.423,444,36.020,32.413,3.607,
,154,194,SUPERTEX S.A.,68.294,44%,457,329,51.105,36.483,14.622,
,155,133,FRUTICOLA DE COLOMBIA S.A.,68.045,-1%,-838,-1.061,17.533,11.454,6.079,
,156,0,COMERCIALIZADORA SUPREMA S.A.S.,66.962,ND,13.103,831,143.578,135.113,8.465,
,157,146,LA CASA DE LOS TENDEROS LTDA,66.932,6%,180,248,6.917,5.056,1.861,
,158,154,DIME CLINICA NEUROCARDIOVASCULAR S.A.,66.857,12%,4.733,1.089,64.021,44.701,19.320,
,159,140,AGROINSUMOS S.A.,66.354,2%,1.633,507,21.440,17.592,3.849,
,160,142,ASHE Y CIA S.A.,66.152,3%,676,264,29.488,21.876,7.612,
,161,262,LATINOAMERICANA DE LA CONSTRUCCION S.A.,65.656,100%,4.838,3.188,25.289,15.611,9.678,
,162,151,COOMEVA SERVICIOS ADMINISTRATIVOS S.A.,65.625,7%,4.146,1.410,38.090,29.609,8.481,
,163,0,COMPAÑIA IMPORTADORA Y EXPORTADORA DE PRODUCTOS AGROINDUSTRIALES S.A.S.,65.306,ND,863,430,15.983,10.247,5.737,
,164,171,COBO Y ASOCIADOS DE OCCIDENTE S.A.,63.545,15%,1.939,2.499,27.700,14.556,13.144,
